click
159.469 180.742 106.5 158.672 128.57 149.844 155.055 136.602 168.297 149.844 53.5312 149.844 75.6016 149.844 97.6719 154.258 124.156 154.258 155.055 167.5 141.813 167.5 106.5 167.5 124.156 171.914 159.469 180.742 141.813 180.742 119.742 185.156 128.57 185.156 146.227 193.984 132.984 198.398 124.156 202.813 141.813 202.813 
156.914 176.984 107.5 159.016 129.961 150.031 152.422 136.555 170.391 145.539 53.5938 145.539 76.0547 150.031 98.5156 150.031 125.469 154.523 156.914 168 138.945 168 107.5 168 125.469 172.492 156.914 176.984 138.945 181.477 116.484 185.969 125.469 185.969 152.422 190.461 138.945 194.953 125.469 203.937 138.945 203.937 
160.469 180.242 107.5 158.172 129.57 149.344 156.055 136.102 169.297 153.758 54.5312 144.93 76.6016 149.344 98.6719 149.344 125.156 153.758 156.055 167 142.813 167 107.5 162.586 125.156 171.414 160.469 180.242 142.813 180.242 120.742 184.656 129.57 184.656 151.641 193.484 138.398 197.898 125.156 202.313 138.398 202.313 
157.914 179.977 117.484 157.516 130.961 148.531 157.914 135.055 171.391 148.531 54.5938 144.039 77.0547 148.531 99.5156 148.531 126.469 153.023 157.914 166.5 139.945 166.5 108.5 162.008 126.469 170.992 157.914 175.484 139.945 179.977 121.977 184.469 130.961 184.469 153.422 193.453 139.945 193.453 126.469 202.437 139.945 202.437 
159.773 175.141 109.5 156.859 132.352 147.719 155.203 138.578 173.484 143.148 54.6563 147.719 77.5078 147.719 100.359 152.289 127.781 152.289 159.773 166 141.492 166 109.5 166 127.781 170.57 159.773 179.711 141.492 179.711 123.211 184.281 127.781 184.281 155.203 193.422 141.492 197.992 127.781 202.562 141.492 202.562 
158.844 180.094 113.531 157.437 131.656 148.375 158.844 134.781 172.438 148.375 54.625 143.844 77.2812 143.844 95.4062 148.375 127.125 152.906 158.844 166.5 145.25 166.5 109 161.969 127.125 171.031 163.375 175.563 145.25 180.094 122.594 184.625 127.125 184.625 154.313 193.688 140.719 193.688 127.125 202.75 140.719 202.75 
163.375 175.063 122.594 152.406 136.188 147.875 158.844 134.281 172.438 152.406 54.625 143.344 77.2812 143.344 99.9375 147.875 127.125 152.406 158.844 166 145.25 166 109 161.469 127.125 170.531 163.375 175.063 145.25 179.594 122.594 184.125 131.656 184.125 154.313 193.188 140.719 197.719 127.125 202.25 140.719 202.25 
163.375 175.063 118.063 152.406 136.188 143.344 158.844 134.281 172.438 152.406 54.625 143.344 77.2812 143.344 99.9375 147.875 127.125 152.406 158.844 166 140.719 166 109 161.469 127.125 170.531 158.844 175.063 140.719 179.594 122.594 184.125 131.656 184.125 154.313 193.188 136.188 197.719 127.125 202.25 140.719 202.25 
162.406 174.484 112.992 152.023 135.453 143.039 157.914 134.055 171.391 152.023 54.5938 143.039 77.0547 143.039 95.0234 147.531 126.469 152.023 157.914 165.5 144.437 165.5 108.5 161.008 126.469 169.992 157.914 178.977 144.437 178.977 121.977 183.469 130.961 183.469 148.93 192.453 135.453 196.945 126.469 201.437 144.437 201.437 
163.375 174.063 113.531 151.406 136.188 142.344 158.844 137.812 172.438 146.875 54.625 142.344 77.2812 142.344 99.9375 146.875 127.125 151.406 158.844 165 145.25 165 109 160.469 127.125 169.531 158.844 178.594 140.719 178.594 122.594 183.125 131.656 183.125 149.781 192.188 136.188 196.719 127.125 201.25 140.719 201.25 
